Arquivo;CodProj;Data de Início;Data de Conclusão;CNPJ;Entidade;Tipo de Entidade;Unidade Federativa;Região
APLPED04951_RELATORIOFINALPED_0484_S02.XML;PD-04951-0484;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0485_S02.XML;PD-04951-0485;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0486_S01.XML;PD-04951-0486;01AUG2012;30JUN2016;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0487_S01.XML;PD-04951-0487;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0488_S01.XML;PD-04951-0488;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0489_S02.XML;PD-04951-0489;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0490_S01.XML;PD-04951-0490;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0491_S02.XML;PD-04951-0491;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0492_S03.XML;PD-04951-0492;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0493_S01.XML;PD-04951-0493;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0496_S02.XML;PD-04951-0496;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0498_S01.XML;PD-04951-0498;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
