"","id","titulo_projeto","categorias","cat2","existe"
"118","ANEEL-PD-05785-0926","Desenvolvimento de uma Metodologia para Identificação em Tempo Real da Relação CausaEfeito de Grandes Desligamentos em Sistemas Elétricos de Potência com Ênfase na Redução do Tempo de Restabelecimento","6.2",6.2,"sim"
"119","ANEEL-PD-06585-1102","Desenvolvimento de metodologia para padronização de subestações aderente aos conceitos Smart Grid, considerando o uso do protocolo de comunicação IEC61850","7.1",7.1,"sim"
"120","ANEEL-PD-04950-0420","Desenvolvimento de Modem PLC para Aplicações de Telecomunicações e Smart Grids em Redes de Baixa tensão","nenhuma categoria encontrada",6.2,"sim"
"121","ANEEL-PD-04951-0336","DE - GT336 - Desenvolvimento de ferramentas para otimização de malhas de controle de usinas geradoras de energia elétrica","6.2",6.2,"sim"
"122","ANEEL-PD-00394-0912","Formação de Vórtices em Tomadas d'água de Usinas Hidrelétricas","nenhuma categoria encontrada",6.1,"sim"
"123","ANEEL-PD-04950-0390","D390 - DE - Desenvolvimento de Funções Avançadas de EMS (Energy Management System) - Fase II","""6.2"", ""7.1""",6.2,"sim"
"124","ANEEL-PD-00372-0031","Metodologia de Controle Preventivo Baseada em Árvore de Decisão para a Melhoria da Segurança Estática e Dinâmica do Sistema Interligado da Eletronorte","nenhuma categoria encontrada",3.6,"sim"
"125","ANEEL-PD-00372-0032","Implantação de Instruções Técnicas Virtuais de Operação e Manutenção para Geração e Desenvolvimento de GAME e Simulador de Modulo de Falhas e Defeitos","nenhuma categoria encontrada",NA,"não"
"126","ANEEL-PD-06585-1101","Projeto, Implantação e Operação de uma rede de medição da irradiação solar direta para o estado da PB visando a elaboração de uma metodologia para localização de centrais solares termoelétricas.","6.2",3.7,"sim"
"127","ANEEL-PD-00095-0002","Desenvolvimento de um sistema para leitura remota de medidores eletrônicos de energia","nenhuma categoria encontrada",NA,"não"
"128","ANEEL-PD-00095-0001","Modelagem e Identificação de Parâmetros de um Sistema de Distribuição Primário de Energia Elétrica em Média Tensão","6.2",NA,"não"
"129","ANEEL-PD-00394-0916","Mitigação de Poluição Sonora nos Arredores de Estações Conversoras","nenhuma categoria encontrada",NA,"não"
"130","ANEEL-PD-00394-0904","Avaliação e monitoramento da qualidade da água do Reservatório da Usina Hidroelétrica de Furnas através de vertebrados aquáticos - Fase 2","""2.1"", ""3.6""",NA,"não"
